RANKING;COUNTRY;COU;PLAYER;MARKED;MATCHES;GOALS;DEBUT;POSITION;WC;WC_DESC;UCL/MUNDIALCLUB;UCL_DESC;EUROAMERICAN;EURO_DESC;BOTH;SOLO_AWARD;SOLO_AWARD2;AWARD_DESC;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;NONSTRIKER
50;UZB;UZB;Oston Urunov;0;39;10;2019;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
50;UZB;UZB;Khozhimat Erkinov;0;42;7;2020;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
50;UZB;UZB;Ruslanbek Jiyanov;0;7;1;2022;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
50;UZB;UZB;Dostonbek Khamdamov;0;35;5;2016;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
50;UZB;UZB;Eldor Shoumurodov;1;88;43;2015;CENTER;0;;0;;0;;0;0;0;;0;0;1;0;0;0
50;UZB;UZB;Igor Sergeev;0;81;24;2013;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
50;UZB;UZB;Khusayin Norchaev;0;3;1;2021;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
49;CRC;CRC;Carlos Mora;0;19;0;2022;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Randall Leal;0;29;1;2018;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Andy Rojas;0;15;1;2024;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Jostin Daly;0;3;1;2020;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Ariel Lassiter;0;33;2;2019;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Kenneth Vargas;0;21;3;2023;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Anthony Contreras;0;31;4;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Alvaro Zamora;0;24;5;2022;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Josimar Alcocer;0;30;6;2023;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Warren Madrigal;0;26;6;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
49;CRC;CRC;Joel Campbell;1;150;27;2011;RIGHT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
49;CRC;CRC;Alonso Martinez;0;31;8;2021;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
49;CRC;CRC;Manfred Ugalde;0;31;11;2020;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
48;VEN;VEN;Gleiker Mendoza;0;5;0;2025;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
48;VEN;VEN;Alejandro Marqués;0;4;0;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
48;VEN;VEN;Matias Lacava;0;3;0;2024;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
48;VEN;VEN;Jesus Ramirez;0;3;1;2024;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
48;VEN;VEN;Yeferson Soteldo;0;54;4;2016;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
48;VEN;VEN;Salomon Rondon;1;121;48;2008;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
47;ROU;ROU;Valentin Mihaila;0;33;5;2021;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
47;ROU;ROU;Dennis Man;0;43;11;2018;RIGHT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
47;ROU;ROU;Stefan Baiaram;0;2;1;2025;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
47;ROU;ROU;David Miculescu;0;6;0;2025;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
47;ROU;ROU;Deian Sorescu;0;23;0;2021;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
