RANKING;COUNTRY;PLAYER;MATCHES;GOALS;DEBUT;POSITION;WC;UCL/MUNDIALCLUB;EUROAMERICAN;SOLO_AWARD;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;OTHER
1;SPAIN;Ferran Torres;50;22;2020;Center;0;0;1;1;1;1;0;0;0;0
1;SPAIN;Mikel Oyarzabal;47;17;2016;Center;0;0;1;0;0;1;0;0;0;0
1;SPAIN;Lamine Yamal;23;6;2023;Right;0;0;1;0;0;1;0;0;0;0
1;SPAIN;Yeremy Pino;15;3;2021;Right;0;0;0;0;0;1;0;0;0;0
1;SPAIN;Alex Baena;10;2;2023;Left;0;0;1;0;0;1;0;0;0;0
2;FRANCE;Kylian Mbappe;92;52;2017;Center;1;0;1;2;0;1;0;0;1;0
2;FRANCE;Kingsley Coman;59;8;2015;Left;0;1;0;0;0;0;1;1;1;0
2;FRANCE;Bradley Barcola;16;3;2024;Left;0;1;0;0;0;0;0;0;1;0
2;FRANCE;Christopher Nkunku;14;1;2022;Center;0;1;0;1;1;0;0;1;1;0
2;FRANCE;Michael Olise;10;3;2024;Right;0;0;0;0;0;0;0;1;0;0
3;ARGENTINA;Lionel Messi;194;114;2005;Right;1;1;1;2;0;1;0;0;1;1
3;ARGENTINA;Lautaro Martinez;72;33;2018;Center;1;0;1;1;0;0;1;0;0;0
3;ARGENTINA;Julian Alvarez;48;13;2021;Center;1;1;1;1;1;0;0;0;0;1
3;ARGENTINA;Nico Gonzalez;45;6;2019;Left;0;0;1;0;0;0;0;0;0;1
3;ARGENTINA;Thiago Almada;11;4;2022;Left;1;0;1;0;0;0;0;0;0;1
4;ENGLAND;Harry Kane;109;74;2015;Center;0;0;0;2;0;0;0;1;0;0
4;ENGLAND;Marcus Rashford;64;18;2016;Left;0;0;0;1;1;0;0;0;0;0
4;ENGLAND;Ollie Watkins;19;5;2021;Center;0;0;0;1;0;0;0;0;0;0
4;ENGLAND;Jarrod Bowen;17;1;2022;Right;0;0;0;0;1;0;0;0;0;0
4;ENGLAND;Anthony Gordon;14;1;2024;Left;0;0;0;0;1;0;0;0;0;0
5;PORTUGAL;Cristiano Ronaldo;223;141;2003;Center;0;1;1;2;1;1;1;0;0;1
5;PORTUGAL;Joao Felix;47;11;2019;Center;0;0;0;0;1;1;0;0;0;1
5;PORTUGAL;Pedro Neto;19;2;2020;Right;0;1;0;0;1;0;1;0;0;0
5;PORTUGAL;Goncalo Ramos;18;9;2022;Center;0;1;0;0;0;0;0;0;1;1
5;PORTUGAL;Francisco Trincao;13;2;2020;Right;0;0;0;0;0;1;0;0;0;1
6;BRAZIL;Richarlison;52;20;2018;Center;0;0;1;1;1;0;0;0;0;1
6;BRAZIL;Vinicius Junior;41;7;2019;Left;0;1;0;2;0;1;0;0;0;0
6;BRAZIL;Rodrygo;33;7;2019;Right;0;1;0;0;0;1;0;0;0;0
6;BRAZIL;Gabriel Martinelli;19;2;2022;Left;0;0;0;0;1;0;0;0;0;0
6;BRAZIL;Matheus Cunha;15;1;2021;Center;0;0;0;0;0;0;0;0;0;0
7;NETHERLANDS;Memphis Depay;104;52;2013;Center;0;0;0;1;1;1;0;0;0;1
7;NETHERLANDS;Wout Weghorst;47;14;2018;Center;0;0;0;1;1;0;0;0;0;0
7;NETHERLANDS;Donyell Malen;45;11;2019;Right;0;0;0;0;0;0;0;0;0;1
7;NETHERLANDS;Cody Gakpo;42;15;2021;Left;0;0;0;1;1;0;0;0;0;1
8;BELGIUM;Michy Batshuayi;55;27;2015;Center;0;0;0;1;1;1;0;0;0;1
8;BELGIUM;Leandro Trossard;47;10;2020;Left;0;0;0;0;1;0;0;0;0;1
8;BELGIUM;Jeremy Doku;35;5;2020;Left;0;0;0;1;0;0;0;0;0;0
8;BELGIUM;Louis Openda;28;3;2022;Center;0;0;0;0;0;0;0;1;0;1
8;BELGIUM;Dodi Lukbeakio;26;2;2020;Right;0;0;0;0;0;0;0;0;0;0
9;CROATIA;Ivan Perisic;146;37;2011;Left;0;1;0;1;0;1;1;1;0;1
9;CROATIA;Bruno Petkovic;42;11;2019;Center;0;0;0;0;0;0;0;0;0;1
9;CROATIA;Ante Budimir;34;6;2020;Center;0;0;0;0;0;0;0;0;0;0
9;CROATIA;Marko Pjaca;28;1;2014;Left;0;0;0;1;0;0;1;0;0;1
9;CROATIA;Mislav Orsic;27;2;2019;Left;0;0;0;0;0;0;0;0;0;1
10;ITALY;Giacomo Raspadori;42;11;2021;Center;0;0;1;0;0;0;1;0;0;0
10;ITALY;Moise Kean;23;10;2018;Center;0;0;0;0;0;0;1;0;1;0
10;ITALY;Mateo Retegui;22;8;2023;Center;0;0;0;1;0;0;0;0;0;1
10;ITALY;Matteo Politano;16;4;2018;Right;0;0;0;0;0;0;1;0;0;0
10;ITALY;Riccardo Orsolini;11;2;2019;Right;0;0;0;0;0;0;1;0;0;0
